90,12,,,,,,,,
0,1,2,Eb4,,0.125,G5,,,
0.125,,,,,0.125,Bb5,,,D6
0.25,,,,,0.125,G5,,,
0.375,,,,,0.125,A5,,,C#6
0.5,,,,,0.125,G5,,,
0.625,,,,,0.125,Ab5,,,C6
0.75,,,,,0.125,G5,,,
0.875,,,,,0.125,A5,,,C#6
1,,,,,0.125,G5,,,
1.125,,,,,0.125,B5,,,D6
1.25,,,,,0.125,G5,,,
1.375,,,,,0.125,Cb6,,,Eb6
1.5,,,,,0.125,G5,,,
1.625,,,,,0.125,B5,,,D6
1.75,,,,,0.125,G5,,,
1.875,,,,,0.125,A5,,,C#6
2,,1,D4,,0.125,G5,,,
2.125,,,,,0.125,Bb5,,,D6
2.25,,,,,0.125,G5,,,
2.375,,,,,0.125,A5,,,C#6
2.5,,,,,0.125,G5,,,
2.625,,,,,0.125,Ab5,,,C6
2.75,,,,,0.125,G5,,,
2.875,,,,,0.125,A5,,,C#6
3,,1,F#4,,0.125,G5,,,
3.125,,,,,0.125,B5,,,D6
3.25,,,,,0.125,G5,,,
3.375,,,,,0.125,Cb6,,,Eb6
3.5,,,,,0.125,G5,,,
3.625,,,,,0.125,B5,,,D6
3.75,,,,,0.125,G5,,,
3.875,,,,,0.125,A5,,,C#6
4,,2,F4,,0.125,Gb5,,,
4.125,,,,,0.125,A5,,,C#6
4.25,,,,,0.125,Gb5,,,
4.375,,,,,0.125,Ab5,,,C6
4.5,,,,,0.125,Gb5,,,
4.625,,,,,0.125,A5,,,C#6
4.75,,,,,0.125,Gb5,,,
4.875,,,,,0.125,Bb5,,,D6
5,,,,,0.125,Gb5,,,
5.125,,,,,0.125,A5,,,C#6
5.25,,,,,0.125,Gb5,,,
5.375,,,,,0.125,Bb5,,,D6
5.5,,,,,0.125,Gb5,,,
5.625,,,,,0.125,A5,,,C#6
5.75,,,,,0.125,Gb5,,,
5.875,,,,,0.125,Ab5,,,C6
6,,1,E4,,0.125,Gb5,,,
6.125,,,,,0.125,A5,,,C#6
6.25,,,,,0.125,Gb5,,,
6.375,,,,,0.125,Ab5,,,C6
6.5,,,,,0.125,Gb5,,,
6.625,,,,,0.125,A5,,,C#6
6.75,,,,,0.125,Gb5,,,
6.875,,,,,0.125,Bb5,,,D6
7,,1,Bb4,,0.125,Gb5,,,
7.125,,,,,0.125,A5,,,C#6
7.25,,,,,0.125,Gb5,,,
7.375,,,,,0.125,Bb5,,,D6
7.5,,,,,0.125,Gb5,,,
7.625,,,,,0.125,A5,,,C#6
7.75,,,,,0.125,Gb5,,,
7.875,,,,,0.125,Ab5,,,C6
8,,1,A4,,0.125,Bb5,,,
8.125,,,,,0.125,D6,,,F6
8.25,,,,,0.125,Bb5,,,
8.375,,,,,0.125,D#6,,,F#6
8.5,,,,,0.125,Bb5,,,
8.625,,,,,0.125,D6,,,F6
8.75,,,,,0.125,Bb5,,,
8.875,,,,,0.125,C#6,,,E6
9,,1,E4,,0.125,Bb5,,,
9.125,,,,,0.125,D6,,,F6
9.25,,,,,0.125,Bb5,,,
9.375,,,,,0.125,C#6,,,E6
9.5,,,,,0.125,Bb5,,,
9.625,,,,,0.125,C6,,,Eb6
9.75,,,,,0.125,Bb5,,,
9.875,,,,,0.125,C#6,,,E6
10,,1,Eb4,,0.125,Bb5,,,
10.125,,,,,0.125,D6,,,F6
10.25,,,,,0.125,Bb5,,,
10.375,,,,,0.125,D#6,,,F#6
10.5,,,,,0.125,Bb5,,,
10.625,,,,,0.125,D6,,,F6
10.75,,,,,0.125,Bb5,,,
10.875,,,,,0.125,C#6,,,E6
11,,1,E4,,0.125,Bb5,,,
11.125,,,,,0.125,D6,,,F6
11.25,,,,,0.125,Bb5,,,
11.375,,,,,0.125,C#6,,,E6
11.5,,,,,0.125,Bb5,,,
11.625,,,,,0.125,C6,,,Eb6
11.75,,,,,0.125,Bb5,,,
11.875,,,,,0.125,C#6,,,E6
